state,Populacao_Estimada,Porcentagem_Populacao_Confirmado,Confirmados_Acumulado,Obitos_Acumulados,Taxa_Mortalidade,Taxa_Letalidade,Confirmacao_Dia,Obitos_Dia
AC,894470,9.77,87389,1804,0.20,2.06,10,0
AL,3351543,6.50,217975,5379,0.16,2.47,745,19
AM,4207714,9.99,420524,13605,0.32,3.24,350,9
AP,861773,14.05,121076,1905,0.22,1.57,114,3
BA,14930634,7.98,1190992,25674,0.17,2.16,5553,170
CE,9187103,10.05,923513,23727,0.26,2.57,4051,208
DF,3055149,14.92,455682,9741,0.32,2.14,594,18
ES,4064052,13.51,548895,12019,0.30,2.19,789,13
GO,7113540,10.69,760663,21302,0.30,2.80,382,12
MA,7114598,4.78,340275,9740,0.14,2.86,19,5
MG,21292666,8.10,1724506,44068,0.21,2.56,10449,254
MS,2809394,12.83,360499,9082,0.32,2.52,703,8
MT,3526220,14.24,501972,13087,0.37,2.61,1432,31
PA,8690745,6.62,575630,16165,0.19,2.81,74,9
PB,4039277,10.53,425304,9057,0.22,2.13,1150,34
PE,9616621,6.21,597338,19101,0.20,3.20,825,29
PI,3281480,9.53,312661,6888,0.21,2.20,313,0
PR,11516840,12.24,1409308,36164,0.31,2.57,2287,99
RJ,17366189,6.15,1067809,60266,0.35,5.64,4037,130
RN,3534165,10.22,361206,7192,0.20,1.99,172,4
RO,1796460,14.25,255914,6337,0.35,2.48,190,6
RR,631181,19.17,121012,1889,0.30,1.56,107,3
RS,11422973,12.10,1381971,33588,0.29,2.43,1030,21
SC,7252502,15.53,1126670,18245,0.25,1.62,2038,41
SE,2318822,11.92,276504,5942,0.26,2.15,286,1
SP,46289333,8.94,4138421,141664,0.31,3.42,8701,387
TO,1590248,13.41,213262,3576,0.22,1.68,411,7
