city,state,Populacao_Estimada,Porcentagem_Populacao_Confirmado,Confirmados_Acumulado,Obitos_Acumulados,Taxa_Mortalidade,Taxa_Letalidade,Confirmacao_Dia,Obitos_Dia
Acrelândia,AC,15490,11.44,1772,37,0.24,2.09,0,0
Assis Brasil,AC,7534,23.80,1793,24,0.32,1.34,2,0
Brasiléia,AC,26702,11.14,2975,42,0.16,1.41,0,0
Bujari,AC,10420,10.93,1139,17,0.16,1.49,0,0
Capixaba,AC,12008,5.60,673,17,0.14,2.52,0,0
Cruzeiro do Sul,AC,89072,8.77,7809,162,0.18,2.07,0,0
Epitaciolândia,AC,18696,8.31,1554,35,0.19,2.25,0,0
Feijó,AC,34884,9.55,3330,62,0.18,1.86,0,0
Jordão,AC,8473,8.34,707,2,0.02,0.28,0,0
Manoel Urbano,AC,9581,9.47,907,14,0.15,1.54,0,0
Marechal Thaumaturgo,AC,19299,6.70,1294,11,0.06,0.85,0,0
Mâncio Lima,AC,19311,15.31,2957,31,0.16,1.05,0,0
Plácido de Castro,AC,19955,8.94,1785,19,0.10,1.06,0,0
Porto Acre,AC,18824,8.23,1549,38,0.20,2.45,0,0
Porto Walter,AC,12241,4.45,545,6,0.05,1.10,0,0
Rio Branco,AC,413418,9.19,38006,1082,0.26,2.85,3,0
Rodrigues Alves,AC,19351,4.99,966,12,0.06,1.24,0,0
Santa Rosa do Purus,AC,6717,15.08,1013,7,0.10,0.69,0,0
Sena Madureira,AC,46511,12.57,5845,67,0.14,1.15,0,0
Senador Guiomard,AC,23236,5.15,1196,42,0.18,3.51,0,0
Tarauacá,AC,43151,15.19,6555,46,0.11,0.70,0,0
Xapuri,AC,19596,15.41,3019,31,0.16,1.03,5,0
Anadia,AL,17526,8.06,1413,29,0.17,2.05,1,0
Arapiraca,AL,233047,12.50,29123,458,0.20,1.57,134,0
Atalaia,AL,47365,2.46,1163,47,0.10,4.04,1,0
Barra de Santo Antônio,AL,16068,2.76,443,30,0.19,6.76,2,2
Barra de São Miguel,AL,8378,6.79,569,7,0.08,1.23,9,0
Batalha,AL,18338,6.05,1110,19,0.10,1.71,5,0
Belo Monte,AL,6710,7.05,473,9,0.13,1.90,0,0
Belém,AL,4284,2.87,123,7,0.16,5.65,0,0
Boca da Mata,AL,27356,6.71,1837,44,0.16,2.39,6,0
Branquinha,AL,10460,5.19,543,9,0.09,1.65,3,0
Cacimbinhas,AL,10889,6.90,751,10,0.09,1.33,2,0
Cajueiro,AL,21331,2.83,604,26,0.12,4.30,7,0
Campestre,AL,6954,3.61,251,6,0.09,2.38,0,0
Campo Alegre,AL,57537,4.68,2695,70,0.12,2.60,3,1
Campo Grande,AL,9567,5.18,496,8,0.08,1.61,0,0
Canapi,AL,17719,2.13,378,9,0.05,2.37,8,0
Capela,AL,16979,5.82,988,16,0.09,1.62,1,0
Carneiros,AL,9159,3.26,299,7,0.08,2.33,0,0
Chã Preta,AL,7311,4.98,364,9,0.12,2.47,1,0
Coité do Nóia,AL,10643,4.27,454,18,0.17,3.96,5,0
Colônia Leopoldina,AL,21818,1.58,345,17,0.08,4.91,0,0
Coqueiro Seco,AL,5864,7.69,451,8,0.14,1.77,0,0
Coruripe,AL,57294,7.02,4022,50,0.09,1.24,7,0
Craíbas,AL,24309,4.94,1201,24,0.10,2.00,3,0
Delmiro Gouveia,AL,52262,7.35,3843,112,0.21,2.91,34,2
Dois Riachos,AL,11067,5.33,590,6,0.05,1.02,1,0
Estrela de Alagoas,AL,18255,2.55,465,12,0.07,2.58,11,0
Feira Grande,AL,22178,3.52,781,18,0.08,2.30,3,0
Feliz Deserto,AL,4779,2.82,135,5,0.10,3.68,0,0
Flexeiras,AL,12807,5.13,657,19,0.15,2.89,0,0
Girau do Ponciano,AL,41237,4.29,1768,40,0.10,2.26,2,0
Ibateguara,AL,15627,3.76,587,19,0.12,3.23,2,0
Igaci,AL,25613,4.57,1170,16,0.06,1.37,1,0
Igreja Nova,AL,24586,5.31,1306,19,0.08,1.45,7,0
Inhapi,AL,18392,2.19,402,11,0.06,2.73,1,0
Jacaré dos Homens,AL,5219,7.59,396,2,0.04,0.50,4,0
Jacuípe,AL,7006,2.45,172,4,0.06,2.31,0,0
Japaratinga,AL,8403,5.13,431,14,0.17,3.24,0,0
Jaramataia,AL,5761,1.91,110,1,0.02,0.90,2,0
Jequiá da Praia,AL,11536,5.11,589,10,0.09,1.69,4,0
Joaquim Gomes,AL,24081,2.99,719,23,0.10,3.19,0,0
Jundiá,AL,4137,3.72,154,4,0.10,2.58,0,0
Junqueiro,AL,24722,4.44,1098,39,0.16,3.55,11,0
Lagoa da Canoa,AL,17771,6.00,1067,18,0.10,1.69,1,0
Limoeiro de Anadia,AL,28771,4.26,1227,29,0.10,2.36,1,0
Maceió,AL,1025360,8.10,83093,2348,0.23,2.83,233,6
Major Isidoro,AL,19864,4.07,809,23,0.12,2.84,1,1
Mar Vermelho,AL,3494,4.26,149,2,0.06,1.33,0,0
Maragogi,AL,33032,4.62,1525,47,0.14,3.08,1,1
Maravilha,AL,9004,4.26,384,12,0.13,3.12,0,0
Marechal Deodoro,AL,52380,11.98,6274,104,0.20,1.66,12,0
Maribondo,AL,13193,3.85,508,18,0.14,3.54,3,0
Mata Grande,AL,25207,1.84,464,16,0.06,3.44,2,0
Matriz de Camaragibe,AL,24634,5.83,1437,39,0.16,2.71,0,0
Messias,AL,18031,6.26,1129,26,0.14,2.30,3,0
Minador do Negrão,AL,5322,3.36,179,6,0.11,3.33,0,0
Monteirópolis,AL,7165,3.34,239,12,0.17,5.00,0,0
Murici,AL,28333,3.58,1013,47,0.17,4.64,3,0
Novo Lino,AL,12764,1.57,201,11,0.09,5.45,2,0
Olho d'Água Grande,AL,5128,3.67,188,9,0.18,4.76,0,0
Olho d'Água das Flores,AL,21738,6.63,1442,32,0.15,2.22,0,0
Olho d'Água do Casado,AL,9441,1.37,129,5,0.05,3.85,0,0
Olivença,AL,11657,3.82,445,13,0.11,2.91,0,0
Ouro Branco,AL,11535,4.30,496,6,0.05,1.21,0,0
