state,Populacao_Estimada,Porcentagem_Populacao_Confirmado,Porcentagem_Populacao_Obito,Confirmados_Acumulado,Obitos_Acumulados,Taxa_Mortalidade,Taxa_Letalidade,Confirmacao_Dia,Obitos_Dia,Vacinados_Totais,Regiao
AC,894470,9.77,0.20,87389,1804,0.20,2.06,10,0,599142,Norte
AL,3351543,6.50,0.16,217975,5379,0.16,2.47,745,19,2243282,Nordeste
AM,4207714,9.99,0.32,420524,13605,0.32,3.18,350,9,2582892,Norte
AP,861773,14.05,0.22,121076,1905,0.22,1.57,114,3,469928,Norte
BA,14930634,7.98,0.17,1190992,25674,0.17,2.16,5553,170,9972163,Nordeste
CE,9187103,10.05,0.26,923513,23727,0.26,2.57,4051,208,5098976,Nordeste
DF,3055149,14.92,0.32,455682,9741,0.32,2.14,594,18,2285800,Centro-Oeste
ES,4064052,13.51,0.30,548895,12019,0.30,2.19,789,13,3449606,Sudeste
GO,7113540,10.69,0.30,760663,21302,0.30,2.80,382,12,5044918,Centro-Oeste
MA,7114598,4.78,0.14,340275,9740,0.14,2.86,19,5,4451195,Nordeste
MG,21292666,8.10,0.21,1724506,44068,0.21,2.56,10449,254,15678494,Sudeste
MS,2809394,12.83,0.32,360499,9082,0.32,2.52,703,8,2679330,Centro-Oeste
MT,3526220,14.24,0.37,501972,13087,0.37,2.61,1432,31,2416608,Centro-Oeste
PA,8690745,6.62,0.19,575630,16165,0.19,2.81,74,9,4563011,Norte
PB,4039277,10.53,0.22,425304,9057,0.22,2.13,1150,34,2977997,Nordeste
PE,9616621,6.21,0.20,597338,19101,0.20,3.12,825,29,6204802,Nordeste
PI,3281480,9.53,0.21,312661,6888,0.21,2.20,313,0,2203958,Nordeste
PR,11516840,12.24,0.31,1409308,36164,0.31,2.57,2287,99,9570085,Sul
RJ,17366189,6.15,0.35,1067809,60266,0.35,4.2,4037,130,13353460,Sudeste
RN,3534165,10.22,0.20,361206,7192,0.20,1.99,172,4,2613583,Nordeste
RO,1796460,14.25,0.35,255914,6337,0.35,2.48,190,6,1197612,Norte
RR,631181,19.17,0.30,121012,1889,0.30,1.56,107,3,338040,Norte
RS,11422973,12.10,0.29,1381971,33588,0.29,2.43,1030,21,10564114,Sul
SC,7252502,15.53,0.25,1126670,18245,0.25,1.62,2038,41,5786439,Sul
SE,2318822,11.92,0.26,276504,5942,0.26,2.15,286,1,1491036,Nordeste
SP,46289333,8.94,0.31,4138421,141664,0.31,3.21,8701,387,45393597,Sudeste
TO,1590248,13.41,0.22,213262,3576,0.22,1.68,411,7,1025391,Norte
