,Pais,Confirmadors,Novos_Confirmados,Obitos,Novos_Obitos,Recuperados,Novos_Recuperados,Casos_Ativos,Total_Testes,Populacao
0,USA,"37,886,998","131,138","640,073",855,"30,289,281","55,367","6,957,644","559,519,820","333,188,423"
1,India,"32,285,101","35,201","432,552",440,"31,478,405","37,145","374,144","496,629,524","1,395,272,151"
2,Brazil,"20,417,204","38,218","570,718","1,137","19,313,546","57,619","532,940","56,023,684","214,260,563"
3,Russia,"6,642,559","20,958","172,110",805,"5,918,324","18,407","552,125","172,800,000","146,004,991"
4,France,"6,504,978","28,114","112,864",111,"5,941,296","27,837","450,818","111,773,788","65,436,259"
5,UK,"6,322,241","26,852","131,149",170,"4,888,855","32,014","1,302,237","258,373,249","68,287,632"
6,Turkey,"6,118,508","21,692","53,507",183,"5,636,282","14,636","428,719","72,386,397","85,360,136"
7,Argentina,"5,096,443","8,172","109,405",300,"4,767,041","8,913","219,997","20,872,858","45,662,527"
8,Colombia,"4,874,169","3,247","123,688",108,"4,698,770","3,962","51,711","23,479,835","51,493,096"
9,Spain,"4,733,602","14,336","82,739",144,"4,017,627","31,060","633,236","59,650,532","46,775,189"
10,Iran,"4,517,243","50,228","99,108",625,"3,786,488","29,331","631,647","27,177,565","85,202,034"
11,Italy,"4,449,606","5,273","128,510",54,"4,191,980","4,794","129,116","80,918,997","60,361,593"
12,Indonesia,"3,892,479","20,741","120,013","1,180","3,414,109","32,225","358,357","29,680,097","276,777,922"
13,Germany,"3,837,188","5,382","92,403",19,"3,684,700","2,700","60,085","67,658,074","84,085,763"
14,Mexico,"3,108,438","7,172","248,652",272,"2,454,114","17,304","405,672","9,113,592","130,456,922"
15,Poland,"2,885,676",221,"75,306",7,"2,655,543",102,"154,827","19,255,619","37,799,881"
16,South Africa,"2,624,254","10,685","77,993",553,"2,393,133","10,324","153,128","15,685,889","60,149,704"
17,Ukraine,"2,267,219",890,"53,296",27,"2,197,508",433,"16,415","11,699,182","43,437,358"
18,Peru,"2,134,365",,"197,487",,N/A,N/A,N/A,"16,145,785","33,488,293"
19,Netherlands,"1,906,434","2,306","17,920",5,"1,780,655","10,129","107,859","16,254,958","17,177,592"
20,Iraq,"1,793,372","8,778","19,815",75,"1,615,773","10,477","157,784","13,831,134","41,235,522"
21,Philippines,"1,765,675","10,035","30,462",96,"1,629,426","10,858","105,787","17,685,200","111,221,219"
22,Czechia,"1,676,518",210,"30,376",,"1,643,784",10,"2,358","34,696,312","10,731,368"
23,Chile,"1,630,330",398,"36,438",18,"1,586,798",803,"7,094","19,561,673","19,300,898"
24,Canada,"1,457,698","1,727","26,719",15,"1,411,268","1,173","19,711","39,453,066","38,114,611"
25,Malaysia,"1,444,270","19,631","13,077",293,"1,179,046","16,468","252,147","20,642,490","32,832,377"
